date,governor,inflation,konsumentpris,energipris,växelkurs,tillväxt,sysselsättning,konjunktur,arbets,geopolitisk,handelskonflikt,handelshinder,tullar,protektionis,osäkerhet,krig,invasion,Total
2016-05-04,Martin Flodén,27,0,0,1,4,1,6,3,0,0,0,0,0,2,0,0,1070
2016-05-04,Per Jansson,20,0,3,2,6,3,1,10,0,0,0,0,0,1,0,0,1429
2016-05-04,Kerstin af Jochnick,13,0,1,1,8,0,0,2,0,0,0,0,0,7,0,0,1029
2016-05-04,Cecilia Skingsley,11,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,673
2016-05-04,Stefan Ingves,41,0,2,1,4,0,3,2,0,0,0,0,0,3,0,0,1796
2016-05-04,Henry Ohlsson,13,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,665
2014-02-12,Martin Flodén,8,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,451
2014-02-12,Cecilia Skingsley,12,0,0,1,5,2,3,2,0,0,0,0,0,1,0,0,930
2014-02-12,Karolina Ekholm,30,0,0,4,0,0,4,2,0,0,0,0,0,0,0,0,1180
2014-02-12,Per Jansson,9,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,1159
2014-02-12,Stefan Ingves,6,0,0,0,8,1,2,0,0,0,0,0,0,1,0,0,607
2014-02-12,Kerstin af Jochnick,10,0,0,0,12,0,4,1,0,0,0,0,0,3,0,0,1068
2012-12-17,Lars E.O. Svensson,19,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,1464
2012-12-17,Barbro Wickman-Parak,11,0,1,1,10,1,7,5,0,0,0,0,0,4,0,0,2369
2012-12-17,Karolina Ekholm,9,0,0,2,2,0,1,6,0,0,0,0,0,0,0,0,1207
2012-12-17,Per Jansson,4,0,0,0,3,1,3,4,0,0,0,0,0,0,0,0,1206
2012-12-17,Stefan Ingves,10,0,1,0,5,1,4,4,0,0,0,0,0,2,0,0,771
2013-04-29,Lars E.O. Svensson,17,0,0,0,2,4,1,15,0,0,0,0,0,0,0,0,1597
2013-04-29,Karolina Ekholm,19,0,0,0,1,0,1,11,0,0,0,0,0,1,0,0,1440
2013-04-29,Barbro Wickman-Parak,15,0,0,0,10,1,0,1,0,0,0,0,0,6,0,0,1333
2013-04-29,Kerstin af Jochnick,7,0,0,1,6,1,2,12,0,0,0,0,0,2,0,0,937
2013-04-29,Per Jansson,19,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1640
2013-04-29,Stefan Ingves,3,0,1,0,4,2,1,2,0,0,0,0,0,0,0,0,551
2016-09-06,Per Jansson,23,0,2,8,6,0,1,0,0,0,0,0,0,1,0,0,1245
2016-09-06,Martin Flodén,15,0,0,1,1,0,2,0,0,0,0,0,0,1,0,0,806
2016-09-06,Stefan Ingves,22,0,1,4,11,2,2,0,0,0,0,0,0,3,0,0,1294
2016-09-06,Cecilia Skingsley,5,0,0,2,3,0,3,9,0,0,0,0,0,0,0,0,955
2016-09-06,Kerstin af Jochnick,7,0,0,0,4,1,1,8,0,0,0,0,0,3,0,0,978
