date,governor,inflation,kpif,konsumentpris,producentpris,energipris,oljepris,råvarupris,utbudsstörning,kron,växelkurs,tillväxt,resursutnyttjande,sysselsättning,konjunktur,finansiella,bnp,skuldsättning,bostadsmarknad,arbets,real,geopolitisk,handelskonflikt,handelshinder,tullar,protektionis,osäkerhet,krig,invasion,Total
2021-06-30,Cecilia Skingsley,22,3,0,0,2,0,0,0,0,0,2,2,0,3,1,0,0,1,4,1,0,0,0,0,0,0,0,0,924
2021-06-30,Henry Ohlsson,10,3,0,0,0,0,0,0,0,0,3,0,0,1,0,3,0,0,18,0,0,0,0,0,0,0,0,0,1040
2021-06-30,Anna Breman,27,0,0,0,0,0,2,2,2,0,0,2,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1084
2021-06-30,Stefan Ingves,28,2,0,0,0,0,0,0,0,0,9,1,0,1,1,3,4,3,8,1,0,0,0,0,0,2,0,0,1288
2019-09-04,Cecilia Skingsley,15,1,0,0,1,0,0,0,0,0,3,2,0,5,1,0,0,0,0,1,0,3,0,0,0,0,0,0,891
2019-09-04,Per Jansson,39,10,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1350
2019-09-04,Martin Flodén,22,0,0,0,0,0,0,0,5,6,2,3,1,13,2,1,0,0,2,1,0,1,0,0,0,2,0,0,1361
2019-09-04,Kerstin af Jochnick,7,0,0,1,1,0,0,0,1,0,5,0,0,4,2,0,1,5,1,2,0,1,0,0,0,5,0,0,1090
2019-09-04,Henry Ohlsson,12,4,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,14,2,0,0,0,0,0,3,1,0,888
2019-09-04,Stefan Ingves,15,1,0,0,1,0,0,0,1,2,6,1,2,3,0,2,1,2,2,6,0,2,0,0,0,2,0,0,1388
2023-02-08,Anna Breman,34,1,0,0,2,0,1,2,9,0,3,0,0,0,4,0,0,0,3,3,3,0,0,0,0,2,1,2,1319
2023-02-08,Aino Bunge,17,1,0,0,1,0,0,0,3,2,0,0,2,1,0,0,0,1,0,3,0,0,0,0,0,3,0,0,1410
2023-02-08,Per Jansson,40,5,0,0,8,0,0,0,8,2,0,0,0,3,2,0,0,0,7,1,0,0,0,0,0,0,0,0,1603
2023-02-08,Martin Flodén,27,1,2,0,3,0,0,0,16,3,2,0,3,5,1,0,1,1,3,2,0,0,0,0,0,1,0,0,1486
2023-02-08,Henry Ohlsson,16,6,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653
2023-02-08,Erik Thedéen,41,3,0,0,5,0,0,0,15,1,4,0,1,1,0,1,0,0,2,3,0,0,0,0,0,3,1,1,1804
2017-04-26,Cecilia Skingsley,5,2,0,0,0,0,0,0,2,0,1,2,0,3,0,0,0,0,2,0,0,0,0,0,3,3,0,0,771
2017-04-26,Per Jansson,20,4,0,0,3,0,0,0,8,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1082
2017-04-26,Kerstin af Jochnick,22,0,0,0,0,0,0,0,4,0,5,2,0,0,1,0,1,1,2,0,0,0,0,0,1,2,0,0,972
2017-04-26,Stefan Ingves,16,2,0,0,2,0,0,0,4,2,4,3,0,6,4,2,1,3,2,0,0,0,0,0,0,1,0,0,1195
2017-04-26,Henry Ohlsson,12,1,0,0,0,0,0,0,2,0,2,1,0,2,0,2,0,0,13,2,0,0,0,0,0,1,0,0,678
2017-04-26,Martin Flodén,20,0,0,0,0,0,0,0,2,0,0,4,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,797
2020-09-21,Martin Flodén,23,0,0,0,0,0,0,0,7,1,0,0,0,0,1,1,1,0,2,3,0,0,0,0,0,3,0,0,1146
2020-09-21,Anna Breman,8,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,1278
2020-09-21,Per Jansson,45,7,0,0,7,0,0,0,1,1,0,1,0,0,0,1,1,0,4,0,0,0,0,0,1,2,0,0,1308
2020-09-21,Henry Ohlsson,7,1,1,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,11,1,0,0,0,0,0,0,0,0,963
2020-09-21,Cecilia Skingsley,12,0,0,0,0,0,0,0,1,0,0,0,0,4,4,0,0,0,1,0,0,0,0,0,0,1,0,0,750
2020-09-21,Stefan Ingves,7,1,0,0,0,0,0,0,0,0,5,0,0,0,1,4,1,0,1,0,0,0,0,0,0,0,0,0,1128
2017-10-25,Martin Flodén,19,0,0,0,0,0,0,0,5,2,1,3,0,6,1,1,0,4,0,0,0,0,0,0,0,3,0,0,1383
2017-10-25,Cecilia Skingsley,14,0,0,0,0,0,0,0,1,2,6,1,0,6,2,1,1,1,3,0,0,0,0,0,0,1,0,0,1162
2017-10-25,Per Jansson,53,4,0,0,3,0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1584
2017-10-25,Kerstin af Jochnick,12,2,0,0,1,0,0,0,4,0,7,3,0,7,2,2,2,4,1,0,1,0,0,0,1,1,0,0,1047
2017-10-25,Stefan Ingves,17,2,0,0,0,0,0,0,2,3,9,0,0,17,2,1,0,1,0,1,1,0,0,0,0,8,2,0,1225
