date,governor,inflation,ränta ,sysselsättning,pris ,växelkurs,skuld,belåning,Total
2020-06-30,Stefan Ingves,8,0,0,0,0,2,0,1091
2021-02-09,Cecilia Skingsley,9,0,0,0,1,0,0,649
2021-02-09,Per Jansson,50,0,0,0,0,0,0,1472
2021-02-09,Henry Ohlsson,6,1,0,0,0,0,0,1201
2021-02-09,Martin Flodén,13,0,0,0,0,4,0,1290
2021-02-09,Stefan Ingves,23,0,1,0,0,2,0,2270
2024-05-07,Anna Breman,29,0,1,0,4,0,0,850
2024-05-07,Aino Bunge,14,0,2,0,1,0,0,658
2024-05-07,Per Jansson,31,3,0,0,2,0,0,1355
2024-05-07,Martin Flodén,15,0,0,0,1,0,0,828
2024-05-07,Erik Thedéen,53,0,2,0,5,1,0,1756
2018-10-23,Kerstin af Jochnick,12,1,0,0,1,2,0,1097
2018-10-23,Stefan Ingves,135,1,0,0,5,2,0,5556
2018-04-25,Kerstin af Jochnick,15,0,0,0,0,1,0,1109
2018-04-25,Martin Flodén,31,0,0,0,3,0,0,897
2018-04-25,Per Jansson,34,0,0,0,4,0,0,1187
2018-04-25,Stefan Ingves,46,1,1,0,5,1,0,2703
2023-04-25,Aino Bunge,19,0,0,0,0,0,0,1351
2023-04-25,Martin Flodén,25,2,3,0,2,1,0,1766
2023-04-25,Anna Breman,24,0,0,0,0,2,0,1413
2023-04-25,Erik Thedéen,95,1,1,0,3,0,0,3861
2024-11-06,Aino Bunge,9,0,0,0,2,0,0,882
2024-11-06,Per Jansson,8,0,0,0,2,0,0,1241
2024-11-06,Anna Breman,25,1,1,0,1,0,0,1241
2024-11-06,Anna Seim,11,0,1,0,1,0,0,896
2024-11-06,Erik Thedéen,10,0,1,0,0,0,0,771
2020-11-25,Stefan Ingves,87,2,0,0,5,16,0,8232
2021-09-20,Per Jansson,58,0,0,0,0,0,0,1735
2021-09-20,Martin Flodén,35,2,0,0,0,0,0,1047
2021-09-20,Henry Ohlsson,13,0,0,0,0,0,0,915
2021-09-20,Cecilia Skingsley,13,0,0,0,0,0,0,894
2021-09-20,Anna Breman,20,0,1,0,0,0,0,1034
2021-09-20,Stefan Ingves,26,0,1,0,0,1,0,1239
2017-02-14,Martin Flodén,22,1,0,0,1,0,0,950
2017-02-14,Stefan Ingves,85,4,1,0,8,12,0,5155
2021-11-24,Per Jansson,57,0,0,0,1,0,0,1952
2021-11-24,Anna Breman,29,0,0,0,0,0,0,1160
2021-11-24,Cecilia Skingsley,21,2,0,0,0,0,0,1106
2021-11-24,Stefan Ingves,65,2,0,0,0,4,0,3807
2017-12-19,Cecilia Skingsley,6,0,0,0,2,0,0,956
2017-12-19,Kerstin af Jochnick,12,1,0,0,0,2,0,933
2017-12-19,Per Jansson,27,0,0,0,3,0,0,1496
2017-12-19,Martin Flodén,9,1,0,0,1,0,0,963
2017-12-19,Stefan Ingves,33,0,2,1,0,0,0,2019
2019-04-24,Stefan Ingves,108,2,0,0,7,3,0,6621
2024-09-24,Per Jansson,29,1,0,0,2,0,0,1153
2024-09-24,Aino Bunge,19,0,0,0,0,1,0,1246
2024-09-24,Anna Breman,18,1,1,0,1,0,0,1056
2024-09-24,Anna Seim,26,0,0,0,0,0,0,789
2024-09-24,Erik Thedéen,15,0,0,0,2,0,0,997
2023-09-20,Martin Flodén,19,0,1,0,1,0,0,1088
2023-09-20,Aino Bunge,21,0,0,0,0,1,1,1418
2023-09-20,Per Jansson,36,0,0,0,2,0,0,1487
2023-09-20,Anna Breman,35,0,2,2,3,1,0,1396
2023-09-20,Erik Thedéen,29,0,1,0,1,0,0,1439
2018-09-05,Martin Flodén,19,1,0,0,5,0,0,896
2018-09-05,Per Jansson,51,0,0,0,1,0,0,1438
2018-09-05,Kerstin af Jochnick,15,0,1,0,0,2,0,1060
2018-09-05,Cecilia Skingsley,15,0,0,0,2,0,0,729
2018-09-05,Henry Ohlsson,14,1,0,0,0,0,0,1169
2018-09-05,Stefan Ingves,23,2,0,0,4,0,0,1384
2024-06-26,Anna Breman,33,0,0,0,3,0,0,1102
2024-06-26,Anna Seim,17,4,0,0,0,0,0,875
2024-06-26,Aino Bunge,19,1,1,0,0,1,0,1235
2024-06-26,Per Jansson,19,0,0,0,6,0,0,1312
2024-06-26,Erik Thedéen,30,0,0,0,0,4,0,1680
2021-04-26,Per Jansson,53,2,0,0,0,0,0,1446
2021-04-26,Cecilia Skingsley,17,2,0,0,0,0,0,1149
